index,grid_x,grid_y,real_x,real_y,height
224,69.696,122.496,366145.96,362594.4,116.84
225,69.4,122.9,366145.76,362594.6,116.84
226,69.104,123.304,366145.76,362594.6,116.84
227,68.808,123.708,366145.76,362594.8,116.84
228,68.512,124.112,366145.76,362594.8,116.84
229,68.216,124.516,366145.56,362595.0,116.84
230,67.92,124.92,366145.56,362595.0,116.84
231,67.624,125.324,366145.56,362595.0,116.84
232,67.328,125.728,366145.36,362595.2,116.83
233,67.032,126.132,366145.36,362595.2,116.83
234,66.736,126.536,366145.36,362595.4,116.83
235,66.44,126.94,366145.16,362595.4,116.83
236,66.144,127.344,366145.16,362595.4,116.83
237,65.848,127.748,366145.16,362595.6,116.83
238,65.552,128.152,366145.16,362595.6,116.83
239,65.256,128.556,366144.96,362595.8,116.83
240,64.96,128.96,366144.96,362595.8,116.83
241,64.664,129.364,366144.96,362595.8,116.83
242,64.368,129.768,366144.76,362596.0,116.83
243,64.072,130.172,366144.76,362596.0,116.83
244,63.776,130.576,366144.76,362596.2,116.85
245,63.48,130.98,366144.56,362596.2,116.84
246,63.184,131.384,366144.56,362596.2,116.84
247,62.888,131.788,366144.56,362596.4,116.84
248,62.592,132.192,366144.56,362596.4,116.84
249,62.296,132.596,366144.36,362596.6,116.84
250,62.0,133.0,366144.36,362596.6,116.84
251,62.1429,133.4857,366144.36,362596.6,116.84
252,62.2857,133.9714,366144.36,362596.8,116.84
253,62.4286,134.4571,366144.36,362596.8,116.84
254,62.5714,134.9429,366144.56,362597.0,116.84
255,62.7143,135.4286,366144.56,362597.0,116.84
256,62.8571,135.9143,366144.56,362597.2,116.84
257,63.0,136.4,366144.56,362597.2,116.84
258,63.1429,136.8857,366144.56,362597.4,116.84
259,63.2857,137.3714,366144.56,362597.4,116.84
260,63.4286,137.8571,366144.56,362597.6,116.84
261,63.5714,138.3429,366144.76,362597.6,116.84
262,63.7143,138.8286,366144.76,362597.8,116.84
263,63.8571,139.3143,366144.76,362597.8,116.84
264,64.0,139.8,366144.76,362598.0,116.84
265,64.1429,140.2857,366144.76,362598.0,116.84
266,64.2857,140.7714,366144.76,362598.2,116.83
267,64.4286,141.2571,366144.76,362598.2,116.83
268,64.5714,141.7429,366144.96,362598.4,116.83
269,64.7143,142.2286,366144.96,362598.4,116.83
270,64.8571,142.7143,366144.96,362598.6,116.83
271,65.0,143.2,366144.96,362598.6,116.83
272,65.1429,143.6857,366144.96,362598.8,116.83
273,65.2857,144.1714,366144.96,362598.8,116.83
274,65.4286,144.6571,366144.96,362599.0,116.83
275,65.5714,145.1429,366145.16,362599.0,116.83
276,65.7143,145.6286,366145.16,362599.2,116.84
277,65.8571,146.1143,366145.16,362599.2,116.84
278,66.0,146.6,366145.16,362599.4,116.84
279,66.1429,147.0857,366145.16,362599.4,116.84
280,66.2857,147.5714,366145.16,362599.6,116.84
281,66.4286,148.0571,366145.16,362599.6,116.84
282,66.5714,148.5429,366145.36,362599.8,116.84
283,66.7143,149.0286,366145.36,362599.8,116.84
284,66.8571,149.5143,366145.36,362600.0,116.84
285,67.0,150.0,366145.36,362600.0,116.84
286,67.1,150.5,366145.36,362600.0,116.84
287,67.2,151.0,366145.36,362600.2,116.84
288,67.3,151.5,366145.36,362600.4,116.84
289,67.4,152.0,366145.36,362600.4,116.84
290,67.5,152.5,366145.56,362600.4,116.84
291,67.6,153.0,366145.56,362600.6,116.84
292,67.7,153.5,366145.56,362600.8,116.84
293,67.8,154.0,366145.56,362600.8,116.84
294,67.9,154.5,366145.56,362600.8,116.84
295,68.0,155.0,366145.56,362601.0,116.84
296,68.4,155.4,366145.56,362601.0,116.84
297,68.8,155.8,366145.76,362601.2,116.83
298,69.2,156.2,366145.76,362601.2,116.83
299,69.6,156.6,366145.96,362601.4,116.83
300,70.0,157.0,366145.96,362601.4,116.83
301,70.4709,157.1699,366145.96,362601.4,116.83
302,70.9417,157.3398,366146.16,362601.4,116.83
303,71.4126,157.5097,366146.16,362601.6,116.83
304,71.8835,157.6796,366146.36,362601.6,116.83
305,72.3544,157.8495,366146.36,362601.6,116.83
306,72.8252,158.0194,366146.56,362601.6,116.83
307,73.2961,158.1893,366146.56,362601.6,116.83
308,73.767,158.3592,366146.76,362601.6,116.82
309,74.2379,158.5291,366146.76,362601.8,116.82
310,74.7087,158.699,366146.96,362601.8,116.82
311,75.1796,158.8689,366146.96,362601.8,116.82
312,75.6505,159.0388,366147.16,362601.8,116.82
313,76.1214,159.2087,366147.16,362601.8,116.82
314,76.5922,159.3786,366147.36,362601.8,116.82
315,77.0631,159.5485,366147.36,362602.0,116.82
316,77.534,159.7184,366147.56,362602.0,116.82
317,78.0049,159.8883,366147.56,362602.0,116.82
318,78.4757,160.0583,366147.56,362602.0,116.82
319,78.9466,160.2282,366147.76,362602.0,116.84
320,79.4175,160.3981,366147.76,362602.0,116.84
321,79.8883,160.568,366147.96,362602.2,116.85
322,80.3592,160.7379,366147.96,362602.2,116.85
323,80.8301,160.9078,366148.16,362602.2,116.85
324,81.301,161.0777,366148.16,362602.2,116.85
325,81.7718,161.2476,366148.36,362602.2,116.85
326,82.2427,161.4175,366148.36,362602.2,116.85
327,82.7136,161.5874,366148.56,362602.4,116.85
328,83.1845,161.7573,366148.56,362602.4,116.85
329,83.6553,161.9272,366148.76,362602.4,116.86
330,84.1262,162.0971,366148.76,362602.4,116.86
331,84.5971,162.267,366148.96,362602.4,116.86
332,85.068,162.4369,366148.96,362602.4,116.86
333,85.5388,162.6068,366149.16,362602.6,116.86
334,86.0097,162.7767,366149.16,362602.6,116.86
335,86.4806,162.9466,366149.16,362602.6,116.86
336,86.9515,163.1165,366149.36,362602.6,116.86
337,87.4223,163.2864,366149.36,362602.6,116.86
338,87.8932,163.4563,366149.56,362602.6,116.86
339,88.3641,163.6262,366149.56,362602.8,116.86
340,88.835,163.7961,366149.76,362602.8,116.86
341,89.3058,163.966,366149.76,362602.8,116.86
342,89.7767,164.1359,366149.96,362602.8,116.86
343,90.2476,164.3058,366149.96,362602.8,116.86
344,90.7184,164.4757,366150.16,362602.8,116.86
345,91.1893,164.6456,366150.16,362603.0,116.86
346,91.6602,164.8155,366150.36,362603.0,116.86
347,92.1311,164.9854,366150.36,362603.0,116.86
348,92.6019,165.1553,366150.56,362603.0,116.86
349,93.0728,165.3252,366150.56,362603.0,116.86
350,93.5437,165.4951,366150.76,362603.0,116.85
351,94.0146,165.665,366150.76,362603.2,116.87
352,94.4854,165.835,366150.76,362603.2,116.87
353,94.9563,166.0049,366150.96,362603.2,116.87
354,95.4272,166.1748,366150.96,362603.2,116.87
355,95.8981,166.3447,366151.16,362603.2,116.87
356,96.3689,166.5146,366151.16,362603.4,116.87
357,96.8398,166.6845,366151.36,362603.4,116.87
358,97.3107,166.8544,366151.36,362603.4,116.87
359,97.7816,167.0243,366151.56,362603.4,116.87
360,98.2524,167.1942,366151.56,362603.4,116.87
361,98.7233,167.3641,366151.76,362603.4,116.85
362,99.1942,167.534,366151.76,362603.6,116.85
363,99.665,167.7039,366151.96,362603.6,116.85
364,100.1359,167.8738,366151.96,362603.6,116.85
365,100.6068,168.0437,366152.16,362603.6,116.85
366,101.0777,168.2136,366152.16,362603.6,116.85
367,101.5485,168.3835,366152.36,362603.6,116.85
368,102.0194,168.5534,366152.36,362603.8,116.85
369,102.4903,168.7233,366152.36,362603.8,116.85
370,102.9612,168.8932,366152.56,362603.8,116.85
371,103.432,169.0631,366152.56,362603.8,116.85
372,103.9029,169.233,366152.76,362603.8,116.86
373,104.3738,169.4029,366152.76,362603.8,116.86
